airport_id,airport_name,city_name,latitude,longitude
GMT,Granite Mountain AS,"Granite Mountain, AK",65.40222222,-161.2813889
GMU,Greenville Downtown,"Greenville, SC",34.84805556,-82.35
GNU,Goodnews,"Goodnews Bay, AK",59.11777778,-161.5736111
GNV,Gainesville Regional,"Gainesville, FL",29.69,-82.27166667
GOL,Gold Beach Municipal,"Gold Beach, OR",42.41527778,-124.425
GON,Groton-New London,"New London/Groton, CT",41.33,-72.04527778
GPM,Grand Prairie Municipal,"Grand Prairie, TX",32.69888889,-97.04694444
GPT,Gulfport-Biloxi International,"Gulfport/Biloxi, MS",30.40722222,-89.07
GPZ,Grand Rapids/Itasca County-Gordon Newstrom Field,"Grand Rapids, MN",47.21,-93.51
GQQ,Horning,"Galion, OH",40.73611111,-82.75277778
GRB,Green Bay Austin Straubel International,"Green Bay, WI",44.48472222,-88.12972222
GRD,Greenwood County,"Greenwood, SC",34.24861111,-82.15916667
GRF,Gray AAF,"Tacoma, WA",47.07916667,-122.58083329999998
GRI,Central Nebraska Regional,"Grand Island, NE",40.9675,-98.30972222
GRK,Robert Gray AAF,"Killeen, TX",31.06722222,-97.82888889
GRR,Gerald R. Ford International,"Grand Rapids, MI",42.88083333,-85.52277778
GSB,Seymour Johnson AFB,"Goldsboro, NC",35.33944444,-77.96055556
GSH,Goshen Municipal,"Goshen, IN",41.52638889,-85.79416667
GSO,Piedmont Triad International,"Greensboro/High Point, NC",36.10138889,-79.94111111
GSP,Greenville-Spartanburg International,"Greer, SC",34.89555556,-82.21888889
GST,Gustavus Airport,"Gustavus, AK",58.42527778,-135.7075
GSW,Greater Southwest International,"Dallas/Fort Worth, TX",32.8275,-97.04527778
GTF,Great Falls International,"Great Falls, MT",47.48222222,-111.3702778
GTR,Golden Triangle Regional,"Columbus, MS",33.44833333,-88.59138889
GTU,Georgetown Municipal,"Georgetown, TX",30.67888889,-97.67944444
GUC,Gunnison-Crested Butte Regional,"Gunnison, CO",38.53444444,-106.93166670000001
GUM,Guam International,"Guam, TT",13.48388889,144.7972222
GUP,Gallup Municipal,"Gallup, NM",35.51111111,-108.78944440000001
GUS,Grissom ARB,"Peru, IN",40.64805556,-86.15222222
GUY,Guymon Municipal,"Guymon, OK",36.685,-101.5077778
GVE,Gordonsville Municipal,"Gordonville, VA",38.15611111,-78.16583333
GVL,Lee Gilmer Memorial,"Gainesville, GA",34.2725,-83.83027778
GVQ,Genesee County,"Batavia, NY",43.03166667,-78.16972222
GVT,Majors,"Greenville, TX",33.06777778,-96.06527778
GVW,Richards/Gebaur AFB,"Grandview, MO",38.85083333,-94.55833333
GWO,Greenwood/Leflore,"Greenwood, MS",33.49333333,-90.08666667
GWR,Gwinner-Roger Melroe Field,"Gwinner, ND",46.21833333,-97.64333333
GWS,Glenwood Springs Municipal,"Glenwood Springs, CO",39.50611111,-107.30916670000002
GYR,Phoenix Goodyear,"Goodyear, AZ",33.42333333,-112.37527779999999
GYY,Gary/Chicago International,"Gary, IN",41.61722222,-87.41444444
HAB,Marion County,"Hamilton, AL",34.12916667,-87.99444444
HAE,Havasupai Airport,"Havasupai, AZ",36.21666667,-112.66666670000001
HAF,Half Moon Bay Airport,"Half Moon Bay, CA",37.51333333,-122.5011111
HAO,Butler County Regional Hogan Field,"Hamilton, OH",39.36388889,-84.52194444
HAR,Capital City,"Harrisburg, PA",40.21722222,-76.85138889
HAY,Haycock Airport,"Haycock, AK",65.20277778,-161.15277780000002
HBC,Hanus Bay Airport,"Hanus Bay, AK",57.41666667,-135.0333333
HBG,Hattiesburg Bobby L. Chain Municipal,"Hattiesburg, MS",31.265,-89.25277778
HBH,Hobart Bay Airport,"Hobart Bay, AK",57.4,-133.46666670000002
HBV,Jim Hogg County,"Hebbronville, TX",27.34944444,-98.73694444
HBY,Hood Bay Airport,"Hood Bay, AK",57.38194444,-134.39527780000003
HCA,Howard County,"Big Spring, TX",32.30361111,-101.43388890000001
HCB,Shoal Cove Airport,"Shoal Cove, AK",55.45,-131.28333329999998
HCR,Holy Cross Airport,"Holy Cross, AK",62.18833333,-159.775
HDA,Hidden Falls Airport,"Hidden Falls, AK",57.21666667,-134.8833333
HDH,Dillingham,"Mokuleia, HI",21.57944444,-158.19722219999997
HDN,Yampa Valley,"Hayden, CO",40.48111111,-107.2177778
